iter	Passed	Remaining
0	212	21001
1	272	13333
2	312	10104
3	348	8364
4	392	7462
5	432	6768
6	464	6174
7	501	5772
8	535	5417
9	581	5230
10	616	4991
11	651	4780
12	693	4638
13	728	4475
14	761	4313
15	799	4195
16	844	4123
17	881	4016
18	922	3931
19	954	3819
20	989	3720
21	1029	3649
22	1066	3571
23	1097	3474
24	1136	3410
25	1191	3391
26	1236	3342
27	1273	3275
28	1323	3240
29	1391	3246
30	1424	3169
31	1460	3104
32	1496	3038
33	1535	2980
34	1573	2922
35	1609	2861
36	1644	2800
37	1681	2743
38	1726	2701
39	1764	2647
40	1813	2609
41	1875	2589
42	1930	2558
43	2005	2552
44	2057	2514
45	2103	2468
46	2143	2417
47	2177	2359
48	2226	2316
49	2264	2264
50	2302	2212
51	2340	2160
52	2391	2120
53	2436	2075
54	2475	2025
55	2507	1969
56	2541	1917
57	2586	1872
58	2617	1818
59	2651	1767
60	2685	1717
61	2722	1668
62	2753	1616
63	2792	1570
64	2828	1522
65	2864	1475
66	2898	1427
67	2938	1382
68	2966	1332
69	3009	1289
70	3045	1244
71	3089	1201
72	3127	1156
73	3163	1111
74	3202	1067
75	3240	1023
76	3276	978
77	3320	936
78	3364	894
79	3408	852
80	3449	809
81	3502	768
82	3546	726
83	3584	682
84	3638	642
85	3673	597
86	3707	554
87	3742	510
88	3782	467
89	3826	425
90	3865	382
91	3898	338
92	3939	296
93	3978	253
94	4017	211
95	4049	168
96	4087	126
97	4122	84
98	4157	41
99	4213	0
